city,区/市/县/旗,基站标识eNodeBID,小区标识（CellID）,k,基站中文名,扇区中文名,longitude,latitude,站点类型,设备厂家,扇区覆盖区域类型,农村/城区大类,物理小区标识(PCI),TAC,频段指示,天线方位角（度）,数据最近更新日期,id,tf, 
新余市,分宜县,471069,81,471069_81,XY_HMNB_NT_分宜581局$金塘新村F1FX_L,XY_HMNB_L_NT_分宜581局$金塘新村F1FX-7,114.672,27.8371,宏站,华为,郊区,农村,167,29441,5,60,2017/9/29 0:00,99648,农村, 
新余市,分宜县,471069,82,471069_82,XY_HMNB_NT_分宜581局$金塘新村F1FX_L,XY_HMNB_L_NT_分宜581局$金塘新村F1FX-8,114.672,27.8371,宏站,华为,郊区,农村,166,29441,5,210,2017/9/29 0:00,99649,农村, 
新余市,分宜县,471069,83,471069_83,XY_HMNB_NT_分宜581局$金塘新村F1FX_L,XY_HMNB_L_NT_分宜581局$金塘新村F1FX-9,114.672,27.8371,宏站,华为,郊区,农村,165,29441,5,310,2017/9/29 0:00,99650,农村, 
新余市,分宜县,471734,81,471734_81,XY_HMNB_NT_分宜县588局$货场南F1FX_L,XY_HMNB_L_NT_分宜县588局$货场南F1FX-7,114.655,27.8053,宏站,华为,县城,城区,164,29440,5,50,2017/9/29 0:00,99651,城市, 
新余市,分宜县,471734,82,471734_82,XY_HMNB_NT_分宜县588局$货场南F1FX_L,XY_HMNB_L_NT_分宜县588局$货场南F1FX-8,114.655,27.8053,宏站,华为,县城,城区,163,29440,5,160,2017/9/29 0:00,99652,城市, 
新余市,分宜县,471734,83,471734_83,XY_HMNB_NT_分宜县588局$货场南F1FX_L,XY_HMNB_L_NT_分宜县588局$货场南F1FX-9,114.655,27.8053,宏站,华为,县城,城区,162,29440,5,280,2017/9/29 0:00,99653,城市, 
新余市,分宜县,471183,81,471183_81,XY_HMNB_XD_分宜县道口边$远泰绣品F1FD_L,XY_HMNB_L_XD_分宜县道口边$远泰绣品F1FD-7,114.70719,27.80318,宏站,华为,农村,农村,35,29725,5,0,2017/9/29 0:00,99654,农村, 
新余市,分宜县,471183,82,471183_82,XY_HMNB_XD_分宜县道口边$远泰绣品F1FD_L,XY_HMNB_L_XD_分宜县道口边$远泰绣品F1FD-8,114.70719,27.80318,宏站,华为,农村,农村,34,29725,5,180,2017/9/29 0:00,99655,农村, 
新余市,分宜县,471183,83,471183_83,XY_HMNB_XD_分宜县道口边$远泰绣品F1FD_L,XY_HMNB_L_XD_分宜县道口边$远泰绣品F1FD-9,114.70719,27.80318,宏站,华为,农村,农村,33,29725,5,270,2017/9/29 0:00,99656,农村, 
新余市,分宜县,471177,81,471177_81,XY_HMNB_XD_分宜县电机厂$亚林中心_景观塔F1FX_L,XY_HMNB_L_XD_分宜县电机厂$亚林中心景观塔F1FX-7,114.658,27.8187,宏站,华为,县城,城区,59,29725,5,0,2017/9/29 0:00,99657,城市, 
新余市,分宜县,471177,82,471177_82,XY_HMNB_XD_分宜县电机厂$亚林中心_景观塔F1FX_L,XY_HMNB_L_XD_分宜县电机厂$亚林中心景观塔F1FX-8,114.658,27.8187,宏站,华为,县城,城区,58,29725,5,190,2017/9/29 0:00,99658,城市, 
新余市,分宜县,471177,83,471177_83,XY_HMNB_XD_分宜县电机厂$亚林中心_景观塔F1FX_L,XY_HMNB_L_XD_分宜县电机厂$亚林中心景观塔F1FX-9,114.658,27.8187,宏站,华为,县城,城区,57,29725,5,280,2017/9/29 0:00,99659,城市, 
新余市,分宜县,471180,81,471180_81,XY_HMNB_XD_分宜县电信局9楼$县检察院F1FX_L,XY_HMNB_L_XD_分宜县电信局9楼$县检察院F1FX-7,114.67013,27.81848,宏站,华为,县城,城区,129,29441,5,60,2017/9/29 0:00,99660,城市, 
新余市,分宜县,471180,82,471180_82,XY_HMNB_XD_分宜县电信局9楼$县检察院F1FX_L,XY_HMNB_L_XD_分宜县电信局9楼$县检察院F1FX-8,114.67013,27.81848,宏站,华为,县城,城区,131,29441,5,180,2017/9/29 0:00,99661,城市, 
新余市,分宜县,471180,83,471180_83,XY_HMNB_XD_分宜县电信局9楼$县检察院F1FX_L,XY_HMNB_L_XD_分宜县电信局9楼$县检察院F1FX-9,114.67013,27.81848,宏站,华为,县城,城区,130,29441,5,300,2017/9/29 0:00,99662,城市, 
